# ========
# captured on    : Sat Sep 12 09:46:13 2026
# header version : 1
# data offset    : 256
# data size      : 7749288
# feat offset    : 7749544
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/optimized/2026-09-12-09-45/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/optimized/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 --batch-size 1024 
# event : name = cpu-clock, , id = { 725 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 1450.743646
# time of last sample : 1461.439241
# sample duration :  10695.595 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 8864320500
#
# Overhead       Samples        Period  Command  Shared Object                                      Symbol                                           IPC   [IPC Coverage]
# ........  ............  ............  .......  .................................................  ...............................................  ....................
#
     9.92%           175     879396875  python   python3.10d                                        [.] _PyEval_EvalFrameDefault                     -      -            
     4.31%            76     381909500  python   python3.10d                                        [.] _PyMem_DebugCheckAddress                     -      -            
     3.00%            53     266331625  python   python3.10d                                        [.] call_function.lto_priv.0                     -      -            
     2.66%            47     236180875  python   libc.so.6                                          [.] pthread_getspecific@@GLIBC_2.34              -      -            
     2.61%            46     231155750  python   python3.10d                                        [.] read_size_t                                  -      -            
     2.32%            41     206030125  python   libc.so.6                                          [.] __memset_avx2_unaligned_erms                 -      -            
     2.04%            36     180904500  python   python3.10d                                        [.] validate_list                                -      -            
     1.76%            31     155778875  python   python3.10d                                        [.] PyGILState_Check                             -      -            
     1.64%            29     145728625  python   python3.10d                                        [.] write_size_t                                 -      -            
     1.59%            28     140703500  python   python3.10d                                        [.] _PyObject_Malloc                             -      -            
     1.47%            26     130653250  python   python3.10d                                        [.] tupledealloc.lto_priv.0                      -      -            
     1.42%            25     125628125  python   python3.10d                                        [.] vgetargs1_impl                               -      -            
     1.30%            23     115577875  python   libc.so.6                                          [.] __memmove_avx_unaligned_erms                 -      -            
     1.30%            23     115577875  python   python3.10d                                        [.] min_max                                      -      -            
     1.19%            21     105527625  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] DOUBLE_multiply_AVX2                         -      -            
     1.08%            19      95477375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] mapiter_get                                  -      -            
     1.08%            19      95477375  python   python3.10d                                        [.] vgetargskeywords                             -      -            
     0.96%            17      85427125  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_NewFromDescr_int                     -      -            
     0.96%            17      85427125  python   python3.10d                                        [.] _PyObject_VectorcallTstate.lto_priv.10       -      -            
     0.91%            16      80402000  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npyiter_buffered_iternext                    -      -            
     0.91%            16      80402000  python   libc.so.6                                          [.] _int_malloc                                  -      -            
     0.91%            16      80402000  python   python3.10d                                        [.] PyType_IsSubtype                             -      -            
     0.91%            16      80402000  python   python3.10d                                        [.] arena_map_get                                -      -            
     0.91%            16      80402000  python   python3.10d                                        [.] tupleiter_next.lto_priv.0                    -      -            
