event	stat	record
cpu-clock	enabled	enabled
task-clock	enabled	enabled
cycles	enabled	enabled
instructions	enabled	enabled
branch-instructions	enabled	enabled
branch-misses	enabled	enabled
bus-cycles	enabled	enabled
cache-references	enabled	enabled
cache-misses	enabled	enabled
ref-cycles	enabled	enabled
stalled-cycles-frontend	unavailable	unavailable
stalled-cycles-backend	unavailable	unavailable
page-faults	enabled	enabled
minor-faults	enabled	enabled
major-faults	enabled	enabled
context-switches	enabled	enabled
cpu-migrations	enabled	enabled
alignment-faults	enabled	enabled
emulation-faults	enabled	enabled
cgroup-switches	enabled	enabled
L1-dcache-loads	enabled	enabled
L1-dcache-load-misses	enabled	enabled
L1-dcache-stores	enabled	enabled
L1-dcache-store-misses	unavailable	unavailable
L1-dcache-prefetches	unavailable	unavailable
L1-dcache-prefetch-misses	unavailable	unavailable
L1-icache-loads	unavailable	unavailable
L1-icache-load-misses	enabled	enabled
LLC-loads	unavailable	unavailable
LLC-load-misses	unavailable	unavailable
LLC-stores	unavailable	unavailable
LLC-store-misses	unavailable	unavailable
LLC-prefetches	unavailable	unavailable
LLC-prefetch-misses	unavailable	unavailable
dTLB-loads	enabled	enabled
dTLB-load-misses	enabled	enabled
dTLB-stores	enabled	enabled
dTLB-store-misses	enabled	enabled
iTLB-loads	enabled	enabled
iTLB-load-misses	enabled	enabled
branch-loads	enabled	enabled
branch-load-misses	enabled	enabled
node-loads	unavailable	unavailable
node-load-misses	unavailable	unavailable
node-stores	unavailable	unavailable
node-store-misses	unavailable	unavailable
duration_time	enabled	stat-only
user_time	unavailable	stat-only
system_time	unavailable	stat-only
dummy	enabled (excluded: special-purpose event)	excluded-special-purpose
bpf-output	enabled (excluded: special-purpose event)	excluded-special-purpose
