# ========
# captured on    : Sat Sep 12 09:32:09 2026
# header version : 1
# data offset    : 256
# data size      : 118438368
# feat offset    : 118438624
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/original/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/original/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 
# event : name = cpu-clock, , id = { 361 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 479.488404
# time of last sample : 617.592046
# sample duration : 138103.641 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu-clock'
# Event count (approx.): 136944706500
#
# Overhead       Samples        Period  Command  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ............  ............  .......  ....................  ..........................................  ....................
#
    29.40%          8013   40266326625  python   python3.10d           [.] _PyEval_EvalFrameDefault                -      -            
     3.39%           923    4638190375  python   python3.10d           [.] call_function.lto_priv.0                -      -            
     3.23%           879    4417084875  python   python3.10d           [.] _PyEval_MakeFrameVector                 -      -            
     3.17%           864    4341708000  python   python3.10d           [.] frame_dealloc.lto_priv.0                -      -            
     2.54%           692    3477386500  python   python3.10d           [.] _PyDict_GetItemHint                     -      -            
     2.21%           602    3025125250  python   python3.10d           [.] PyTuple_GetItem                         -      -            
     2.12%           577    2899497125  python   python3.10d           [.] binary_op1                              -      -            
     2.01%           548    2753768500  python   python3.10d           [.] _PyType_Lookup                          -      -            
     1.97%           538    2703517250  python   python3.10d           [.] _PyObject_VectorcallTstate.lto_priv.10  -      -            
     1.66%           453    2276381625  python   python3.10d           [.] _PyObject_GetMethod                     -      -            
     1.56%           424    2130653000  python   python3.10d           [.] _PyMem_DebugCheckAddress                -      -            
     1.39%           380    1909547500  python   python3.10d           [.] lookdict_split.lto_priv.0               -      -            
     1.17%           319    1603014875  python   python3.10d           [.] _PyFrame_New_NoTrack                    -      -            
     1.15%           313    1572864125  python   python3.10d           [.] read_size_t                             -      -            
     1.14%           311    1562813875  python   python3.10d           [.] _PyEval_Vector                          -      -            
     1.10%           301    1512562625  python   libc.so.6             [.] pthread_getspecific@@GLIBC_2.34         -      -            
     1.10%           299    1502512375  python   python3.10d           [.] lookdict_unicode_nodummy                -      -            
     1.06%           289    1452261125  python   python3.10d           [.] _Py_CheckFunctionResult                 -      -            
     1.05%           287    1442210875  python   python3.10d           [.] insertdict                              -      -            
     1.02%           278    1396984750  python   python3.10d           [.] PyFloat_FromDouble                      -      -            
     0.99%           271    1361808875  python   python3.10d           [.] float_dealloc.lto_priv.0                -      -            
     0.90%           246    1236180750  python   python3.10d           [.] _Py_NewReference                        -      -            
     0.88%           240    1206030000  python   python3.10d           [.] _PyFunction_Vectorcall                  -      -            
     0.84%           230    1155778750  python   python3.10d           [.] _PyObject_Malloc                        -      -            
     0.84%           230    1155778750  python   python3.10d           [.] _PyUnicode_FromId                       -      -            
     0.84%           228    1145728500  python   python3.10d           [.] float_mul.lto_priv.0                    -      -            
